ID đơn hàng,ID sản phẩm,Tên sản phẩm,Sku,Id Sku,Sku người bán,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Phương thức thanh toán,Trạng thái đơn hàng,Tên người dùng nhà sáng tạo,Loại nội dung,Id nội dung,commission model,Tỷ lệ khấu trừ Thuế TNCN,Thuế TNCN ước tính,Thuế TNCN thực tế ,Tỷ lệ hoa hồng tiêu chuẩn,Cơ sở hoa hồng ước tính,Thanh toán hoa hồng tiêu chuẩn ước tính,Cơ sở hoa hồng thực tế,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Thưởng đồng chi trả cho nhà sáng tạo ước tính,Thưởng đồng chi trả cho nhà sáng tạo thực tế,Trả hàng & hoàn tiền,Hoàn tiền,Thời gian đã tạo,Thời gian thanh toán,Thời gian sẵn sàng vận chuyển,Order Delivery Time,Thời gian hoàn thành đơn hàng,Thời gian hoa hồng đã thanh toán,Platform,agreement_type
580806595408005036,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ K -Trắng, M (dưới 70kg)",1732878721659668024,,210000,254850,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,210000,21000,,,,,,,,0,0,17/10/2025 18:26:52,19/10/2025 20:43:13,17/10/2025 18:26:53,19/10/2025 20:43:13,,,TTS,Open/Target Collaboration
580806595408005036,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Trắng, XS (dưới 50kg)",1732878549686453816,,210000,254850,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,210000,21000,,,,,,,,0,0,17/10/2025 18:26:52,19/10/2025 20:43:13,17/10/2025 18:26:53,19/10/2025 20:43:13,,,TTS,Open/Target Collaboration
580806704299607802,1729714121008056888,"Áo thun cặp đôi BY.DUNI nam nữ form rộng Local Brand unisex, áo cặp quà tặng bạn thân vải cotton FALL IN LOVE FULL BOX","Tim Xanh - Đen, M (55kg-69kg)",1729714121008187960,,184000,390000,VND,1,Không áp dụng thanh toán khi giao hàng,Đang xử lý,huynhict,Chương trình Lưu lượng truy cập bên ngoài,,fixed commission,,,,4,184000,7360,,,,,,,,0,0,17/10/2025 18:33:53,17/10/2025 18:34:00,17/10/2025 18:34:00,20/10/2025 12:50:53,,,TTS,Open/Target Collaboration
580806786780660740,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, S (dưới 60kg)",1732878574089831992,,215000,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,215000,21500,,,,,,,,0,0,17/10/2025 18:40:26,19/10/2025 12:57:51,17/10/2025 18:40:27,19/10/2025 12:57:51,,,TTS,Open/Target Collaboration
580806786780660740,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ K -Trắng, L (dưới 90kg)",1732878721659733560,,215000,252000,VND,1,Thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,215000,21500,,,,,,,,0,0,17/10/2025 18:40:26,19/10/2025 12:57:51,17/10/2025 18:40:27,19/10/2025 12:57:51,,,TTS,Open/Target Collaboration
580806950799771174,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ V- Đen, S (dưới 60kg)",1732878574093567544,,215000,262400,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7547333061441064200,fixed commission,,,,,215000,,,,5,10750,,,,0,0,17/10/2025 18:52:25,20/10/2025 16:34:01,17/10/2025 18:52:26,20/10/2025 16:34:01,,,TTS,Open/Target Collaboration
580806950799771174,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ L- Đen, M (dưới 70kg)",1732878721661240888,,215000,262400,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7547333061441064200,fixed commission,,,,,215000,,,,5,10750,,,,0,0,17/10/2025 18:52:25,20/10/2025 16:34:01,17/10/2025 18:52:26,20/10/2025 16:34:01,,,TTS,Open/Target Collaboration
580807031880778812,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Đen, XS (dưới 50kg)",1732878574093698616,,215000,259000,VND,1,Thanh toán khi giao hàng,Đang xử lý,anhlinh.emhuong,Video,7559962057148222727,fixed commission,,,,,215000,,,,5,10750,,,,0,0,17/10/2025 19:01:24,19/10/2025 17:39:55,17/10/2025 19:01:26,19/10/2025 17:39:55,,,TTS,Open/Target Collaboration
580807193658819615,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ H- Đen, S (dưới 60kg)",1732878574092387896,,199950,259000,VND,1,Thanh toán khi giao hàng,Đã hủy,anhlinh.emhuong,Video,7559962057148222727,fixed commission,0,0,0,10,199950,19995,,,,,,,,0,0,17/10/2025 19:13:05,,17/10/2025 19:13:06,,,,TTS,Open/Target Collaboration
580807261916005524,1731838917675222584,"Áo thun THÊU cặp đôi BY.DUNI nam nữ form rộng Local Brand tay lỡ unisex, áo cặp bạn thân chữ cái KÝ TỰ YÊU THƯƠNG DHLC","OVS-T.Chữ T- Trắng, S (dưới 60kg)",1732878574089831992,,187050,449450,VND,2,Không áp dụng thanh toán khi giao hàng,Đang xử lý,khainhung61,Video,7559929358131940626,fixed commission,,,,10,374100,37410,,,,,,,,0,0,17/10/2025 19:18:55,17/10/2025 19:19:00,17/10/2025 19:19:01,,,,TTS,Open/Target Collaboration
